mode,label,transport,global_batch_seqs,gpus,timed_step_index,step_ms,source_file
ddp_torch,PyTorch DDP,"A100 PCIe (P2P off, SHM)",480,2,4,1744.6,out/runpod-pcie/session_out/bench-b480/20260822T193724Z/results.json
ddp_torch,PyTorch DDP,"A100 PCIe (P2P off, SHM)",480,2,5,1727.6,out/runpod-pcie/session_out/bench-b480/20260822T193724Z/results.json
ddp_torch,PyTorch DDP,"A100 PCIe (P2P off, SHM)",480,2,6,1740.3,out/runpod-pcie/session_out/bench-b480/20260822T193724Z/results.json
ddp_torch,PyTorch DDP,"A100 PCIe (P2P off, SHM)",480,2,7,1790.6,out/runpod-pcie/session_out/bench-b480/20260822T193724Z/results.json
ddp_torch,PyTorch DDP,"A100 PCIe (P2P off, SHM)",480,2,8,1767.6,out/runpod-pcie/session_out/bench-b480/20260822T193724Z/results.json
ddp_torch,PyTorch DDP,"A100 PCIe (P2P off, SHM)",480,2,9,1734.0,out/runpod-pcie/session_out/bench-b480/20260822T193724Z/results.json
ddp_torch,PyTorch DDP,"A100 PCIe (P2P off, SHM)",480,2,10,1738.1,out/runpod-pcie/session_out/bench-b480/20260822T193724Z/results.json
ddp_torch,PyTorch DDP,"A100 PCIe (P2P off, SHM)",480,2,11,1728.1,out/runpod-pcie/session_out/bench-b480/20260822T193724Z/results.json
ddp_torch,PyTorch DDP,"A100 PCIe (P2P off, SHM)",480,2,12,1746.2,out/runpod-pcie/session_out/bench-b480/20260822T193724Z/results.json
ddp_torch,PyTorch DDP,"A100 PCIe (P2P off, SHM)",480,2,13,1741.2,out/runpod-pcie/session_out/bench-b480/20260822T193724Z/results.json
ddp_torch,PyTorch DDP,"A100 PCIe (P2P off, SHM)",480,2,14,1734.5,out/runpod-pcie/session_out/bench-b480/20260822T193724Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,480,8,0,1208.8,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,480,8,1,1240.8,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,480,8,2,1217.9,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,480,8,3,1218.0,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,480,8,4,1213.4,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,480,8,5,1199.5,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,480,8,6,1251.1,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,480,8,7,1211.3,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,480,8,8,1203.2,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,480,8,9,1221.3,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,480,8,10,1215.2,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,480,8,11,1220.6,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,480,8,0,1169.9,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,480,8,1,1204.0,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,480,8,2,1218.3,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,480,8,3,1381.2,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,480,8,4,1216.9,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,480,8,5,1332.5,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,480,8,6,1370.8,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,480,8,7,1328.6,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,480,8,8,1316.5,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,480,8,9,1234.2,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,480,8,10,1168.6,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,480,8,11,1302.3,out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json
